"","lon","lat","id"
"1",-87.7152525532732,41.9209603647686,"17031221000"
"2",-87.7103608721078,41.9210204879521,"17031221100"
"3",-87.6903236862061,41.8926320016676,"17031242800"
"4",-87.6842896335513,41.8921954749149,"17031242900"
"5",-87.6793981390144,41.8922753212663,"17031243000"
"6",-87.6745067505326,41.8923546036463,"17031243100"
"7",-87.6696237587936,41.892432683648,"17031243200"
"8",-87.6647387828878,41.8924781142875,"17031243300"
"9",-87.6598540367779,41.8925660053357,"17031243400"
"10",-87.6294058994409,41.9221531769639,"17031071400"
"11",-87.7726113766196,41.9729536370359,"17031110400"
"12",-87.7717578317625,41.9494730616355,"17031150600"
"13",-87.7619580277137,41.9495915304804,"17031150700"
"14",-87.7521181643318,41.9497085786398,"17031150800"
"15",-87.8300331903551,41.8118790225087,"17031819200"
"16",-87.6619214594186,41.4818613065075,"17031829402"
"17",-87.8595374598224,41.9160826970651,"17031811302"
"18",-87.943246868987,42.0716670411464,"17031802802"
"19",-87.597355233647,41.4948620781739,"17031829700"
"20",-87.7705236081186,41.513703058329,"17031830003"
"21",-87.8082530453487,41.7188042958246,"17031823703"
"22",-87.6843362337209,41.5425866208194,"17031829800"
"23",-88.0535934846252,41.9961182198605,"17031804607"
"24",-87.8388500947856,41.6687130513142,"17031823901"
"25",-88.0879699177012,42.0379261759719,"17031804709"
"26",-87.6600154762276,41.637364668673,"17031826800"
"27",-87.6611056969799,41.7540484536114,"17031710300"
"28",-87.6979153097544,41.5930051175725,"17031825600"
"29",-87.7174955403833,41.9428558823217,"17031831100"
"30",-87.7880067139977,41.9275949892279,"17031831500"
"31",-87.7976147512021,41.9256104939695,"17031831600"
"32",-87.7322599801522,41.9153213630623,"17031831200"
"33",-87.6769966373306,41.9147981026164,"17031831000"
"34",-87.722748898498,41.8679365394178,"17031843000"
"35",-87.7007123685841,41.8607499536559,"17031843100"
"36",-87.6729371364782,41.8631389394177,"17031842900"
"37",-87.6967541587226,41.8382166582917,"17031843500"
"38",-87.6251701768445,41.8349600381545,"17031842000"
"39",-88.1800997978813,42.0073191829477,"17031804508"
"40",-87.81686044047,41.9705559982026,"17031770901"
"41",-87.6922564855597,41.915741118827,"17031832400"
"42",-87.6619348569719,41.8741750671583,"17031832900"
"43",-87.6818812695494,41.832097039794,"17031840300"
"44",-87.8243548933044,41.687361795239,"17031823805"
"45",-87.7008236262901,41.8678232919979,"17031838600"
"46",-87.61924862464,41.8274428317628,"17031839600"
"47",-87.6567361019881,41.772298624015,"17031834900"
"48",-87.6583978876946,41.9854762326797,"17031030603"
"49",-87.6799745595802,41.9204799227179,"17031832200"
"50",-87.7021746582086,41.8917040866903,"17031836700"
"51",-87.7138625097215,41.885044867347,"17031836800"
"52",-87.7088058672008,41.8986972714539,"17031836600"
"53",-87.6572488317539,41.8852862503942,"17031833000"
"54",-87.6232157263476,41.7769505697029,"17031842500"
"55",-87.5994203302076,41.7663062507706,"17031841800"
"56",-87.7509001120579,41.7859812577443,"17031980100"
"57",-87.6983043850931,41.8075339265106,"17031842800"
"58",-87.640475574952,41.8016565926922,"17031843800"
"59",-87.6173931074208,41.848444841006,"17031841000"
"60",-87.583606882786,41.7555676324838,"17031834200"
"61",-87.6497921781586,41.9048776856133,"17031842200"
"62",-87.6806521428415,41.8773665995749,"17031838000"
"63",-87.6727257140767,42.0090199406648,"17031010702"
"64",-87.6631261619167,42.000320703711,"17031010503"
"65",-87.6633273052164,42.0045172899098,"17031010502"
"66",-87.6786204408813,42.0091482000577,"17031010701"
"67",-87.6786841180029,41.994258503633,"17031020902"
"68",-87.6949634131532,42.0085406224338,"17031020302"
"69",-87.7018024728699,42.0008745823885,"17031020601"
"70",-87.7051864882731,42.0068651031282,"17031020301"
"71",-87.8441355522973,41.9753408388058,"17031760803"
"72",-87.632165963321,41.6742779791177,"17031530501"
"73",-87.6375139758567,41.6635647480583,"17031530503"
"74",-87.7299916336982,41.7749275343811,"17031650301"
"75",-87.71773314807,41.7750930973548,"17031650302"
"76",-87.6266737898482,41.6648047761737,"17031530502"
"77",-88.017864935447,42.1478318910905,"17031803611"
"78",-87.7442595578672,41.9077661775485,"17031831300"
"79",-87.7560883522148,41.8691188114006,"17031831400"
"80",-87.6986738735028,41.8783232837306,"17031837000"
"81",-87.6300706101701,41.7424257681339,"17031842400"
"82",-87.6532413535521,41.9528214797905,"17031832100"
"83",-87.6946305981745,41.99405920971,"17031020802"
"84",-87.7048939420016,41.9941256289201,"17031020702"
"85",-87.6944148717528,41.9868081349975,"17031020801"
"86",-87.6940960099502,41.9798548915309,"17031040202"
"87",-87.694000507454,41.9725804330767,"17031040201"
"88",-87.6788180611366,41.9725449712386,"17031040402"
"89",-87.6524342643789,41.9672885583851,"17031031501"
"90",-87.6262120435997,41.8991537817929,"17031081201"
"91",-87.643023946504,41.9345407184064,"17031063301"
"92",-87.6162676621309,41.6960581524163,"17031490901"
"93",-87.6153262482853,41.7032800881636,"17031490902"
"94",-87.7350508953469,41.8416596595002,"17031301801"
"95",-87.7317116754676,41.7456224626777,"17031700301"
"96",-87.7195244002208,41.83880618714,"17031301702"
"97",-87.7120354885719,41.7455371552905,"17031700401"
"98",-88.0087907807529,42.1498523443023,"17031803612"
"99",-88.0541459618054,42.1056861487718,"17031803702"
"100",-88.0899484464082,42.0535226794419,"17031804713"
"101",-88.1575722596637,42.0125736978525,"17031804309"
"102",-88.1525557489175,42.0000406338298,"17031804510"
"103",-87.6987203778023,41.8856735842778,"17031837100"
"104",-87.6938012522895,41.8759745030303,"17031837400"
"105",-87.684127221498,41.8847503631703,"17031837800"
"106",-87.8240396535617,41.8449683946635,"17031815600"
"107",-87.858439099807,41.8543591579956,"17031818000"
"108",-87.8200597488149,41.8876728935713,"17031812000"
"109",-87.600614422268,41.8282730988586,"17031836500"
"110",-87.5760191559468,41.7765908153497,"17031843900"
"111",-87.7055523905611,41.8716190646458,"17031837300"
"112",-87.7079132075803,41.8616224376989,"17031841500"
"113",-87.7201851068779,41.8625774975881,"17031838700"
"114",-87.7819638623588,41.9644762143811,"17031150501"
"115",-87.7722648049455,41.9645676041497,"17031150401"
"116",-87.7818413535943,41.9567784234447,"17031150502"
"117",-87.7598523341509,41.9702865406694,"17031110502"
"118",-87.7720436079899,41.9567979297896,"17031150402"
"119",-87.7237560628257,41.9724937891133,"17031140302"
